model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-08,0.947502,15134.000000,405060.000000,0.037105,26.764900,2722
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-09,0.861993,55045.000000,376132.000000,0.087549,6.833173,2787
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-10,0.871586,54787.000000,443197.000000,0.076322,8.089456,2817
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-11,0.899689,52995.000000,395999.000000,0.088977,7.472384,2776
M3_gbm_squared,forecast_plus_ss,1.645000,abc,A,0.934129,103663.000000,1608549.000000,0.079438,15.517099,4771
M3_gbm_squared,forecast_plus_ss,1.645000,abc,B,0.830824,71296.000000,482129.000000,0.083938,6.762357,4825
M3_gbm_squared,forecast_plus_ss,1.645000,abc,C,0.751225,48168.000000,313154.000000,0.049329,6.501287,6933
M3_gbm_squared,forecast_plus_ss,2.050000,overall,all,0.914360,187449.000000,2887874.000000,0.056265,15.406185,16529
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-06,0.920611,21600.000000,478888.000000,0.047915,22.170741,2734
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-07,0.937741,17098.000000,471121.000000,0.047902,27.554158,2693
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-08,0.959972,11539.000000,485054.000000,0.028655,42.036052,2722
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-09,0.883655,46405.000000,453738.000000,0.072121,9.777783,2787
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-10,0.887750,47891.000000,524439.000000,0.068868,10.950680,2817
M3_gbm_squared,forecast_plus_ss,2.050000,month,2011-11,0.918767,42916.000000,474634.000000,0.070965,11.059605,2776
M3_gbm_squared,forecast_plus_ss,2.050000,abc,A,0.948796,80581.000000,1952006.000000,0.062670,24.224147,4771
M3_gbm_squared,forecast_plus_ss,2.050000,abc,B,0.852607,62116.000000,578214.000000,0.069845,9.308616,4825
M3_gbm_squared,forecast_plus_ss,2.050000,abc,C,0.768868,44752.000000,357654.000000,0.042406,7.991911,6933
M4_gbm_absolute,forecast_only,1.280000,overall,all,0.612910,847259.000000,271830.000000,0.423317,0.320835,16529
M4_gbm_absolute,forecast_only,1.280000,month,2011-06,0.626697,101568.000000,40014.000000,0.411485,0.393963,2734
M4_gbm_absolute,forecast_only,1.280000,month,2011-07,0.656164,94426.000000,35745.000000,0.442629,0.378550,2693
M4_gbm_absolute,forecast_only,1.280000,month,2011-08,0.655941,99184.000000,40717.000000,0.374357,0.410520,2722
M4_gbm_absolute,forecast_only,1.280000,month,2011-09,0.549835,179552.000000,38757.000000,0.438105,0.215854,2787
M4_gbm_absolute,forecast_only,1.280000,month,2011-10,0.624667,160134.000000,67239.000000,0.385517,0.419892,2817
M4_gbm_absolute,forecast_only,1.280000,month,2011-11,0.597972,212395.000000,49358.000000,0.487752,0.232388,2776
M4_gbm_absolute,forecast_only,1.280000,abc,A,0.662023,531888.000000,183321.000000,0.497170,0.344661,4771
M4_gbm_absolute,forecast_only,1.280000,abc,B,0.512764,205337.000000,55495.000000,0.462798,0.270263,4825
M4_gbm_absolute,forecast_only,1.280000,abc,C,0.431704,110034.000000,33014.000000,0.345017,0.300035,6933
M4_gbm_absolute,forecast_only,1.645000,overall,all,0.612910,847259.000000,271830.000000,0.423317,0.320835,16529
M4_gbm_absolute,forecast_only,1.645000,month,2011-06,0.626697,101568.000000,40014.000000,0.411485,0.393963,2734
